"We are hiring","Nous recrutons"
"Department","Département"
"Departments","Départements"
"Department : ","Département : "
"New Department","Nouveau Département"
"Department Name","Nom du Département"
"Department Description","Description du Département"
"Save and Continue Edit","Sauvegarder et continuer l'édition"
"Save Department","Sauvegarder le Département"
"General Information","Informations générales"
"Add New Department","Ajouter un départment"
"Department saved","Département enregistré"
"Department deleted","Département supprimé"
"Name","Nom"
"A total of %1 record(s) have been deleted.","%1 entrée(s) ont été supprimée(s)"
"Job","Offre d'emploi"
"Jobs","Offres d'emploi"
"New Job","Nouvelle Offre"
"Save and Continue Edit","Sauvegarder et continuer l'édition"
"Save Job","Sauvegarder l'offre"
"General Information","Informations générales"
"Add New job","Ajouter une offre"
"Job saved","Offre d'emploi enregistrée"
"Job deleted","Offre d'emploi supprimée"
"Title","Titre"
"Type","Type"
"Location","Localisation"
"Date","Date"
"Status","Statut"
"Enabled","Activé"
"Disabled","Désactivé"
